TOTAL_TOPICS,UNIQUE_TOPICS,PAGE_SIMILARITY,PAGE_VARIANCE,BOOLEAN_PAGE_VARIANCE
65,275,4.230769,63.958106,0.232575
104,368,3.538462,42.358498,0.115105
46,278,6.043478,68.189896,0.245287
87,531,6.103448,39.251339,0.07392
73,494,6.767123,72.707339,0.147181
85,548,6.447059,32.336444,0.059008
97,688,7.092784,60.330312,0.087689
101,349,3.455446,53.041592,0.151982
78,414,5.307692,48.614348,0.117426
75,588,7.84,60.220909,0.102417
